date_from;date_to;User_ID;session_ID;Synthetic_3_6kW;Synthetic_7_2kW;Flex_3_6kW;Flex_7_2kW
23.12.2018 09:00;23.12.2018 10:00;AdO3-2;4;NA;NA;3,6;7,2
23.12.2018 10:00;23.12.2018 11:00;AdO3-2;4;NA;NA;3,6;7,2
23.12.2018 11:00;23.12.2018 12:00;AdO3-2;4;NA;NA;3,6;7,2
23.12.2018 12:00;23.12.2018 13:00;AdO3-2;4;NA;NA;3,6;7,2
23.12.2018 13:00;23.12.2018 14:00;AdO3-2;4;NA;NA;3,6;7,2
23.12.2018 14:00;23.12.2018 15:00;AdO3-2;4;NA;NA;3,6;7,2
23.12.2018 15:00;23.12.2018 16:00;AdO3-2;4;NA;NA;3,6;7,2
23.12.2018 16:00;23.12.2018 17:00;AdO3-2;4;NA;NA;2,411;4,822
23.12.2018 17:00;23.12.2018 18:00;NA;NA;NA;NA;NA;NA
23.12.2018 18:00;23.12.2018 19:00;NA;NA;NA;NA;NA;NA
23.12.2018 19:00;23.12.2018 20:00;NA;NA;NA;NA;NA;NA
23.12.2018 20:00;23.12.2018 21:00;NA;NA;NA;NA;NA;NA
23.12.2018 21:00;23.12.2018 22:00;NA;NA;NA;NA;NA;NA
23.12.2018 22:00;23.12.2018 23:00;NA;NA;NA;NA;NA;NA
23.12.2018 23:00;24.12.2018 00:00;NA;NA;NA;NA;NA;NA
24.12.2018 00:00;24.12.2018 01:00;NA;NA;NA;NA;NA;NA
24.12.2018 01:00;24.12.2018 02:00;NA;NA;NA;NA;NA;NA
24.12.2018 02:00;24.12.2018 03:00;NA;NA;NA;NA;NA;NA
24.12.2018 03:00;24.12.2018 04:00;NA;NA;NA;NA;NA;NA
24.12.2018 04:00;24.12.2018 05:00;NA;NA;NA;NA;NA;NA
24.12.2018 05:00;24.12.2018 06:00;NA;NA;NA;NA;NA;NA
24.12.2018 06:00;24.12.2018 07:00;NA;NA;NA;NA;NA;NA
24.12.2018 07:00;24.12.2018 08:00;NA;NA;NA;NA;NA;NA
24.12.2018 08:00;24.12.2018 09:00;NA;NA;NA;NA;NA;NA
24.12.2018 09:00;24.12.2018 10:00;NA;NA;NA;NA;NA;NA
24.12.2018 10:00;24.12.2018 11:00;NA;NA;NA;NA;NA;NA
24.12.2018 11:00;24.12.2018 12:00;NA;NA;NA;NA;NA;NA
24.12.2018 12:00;24.12.2018 13:00;NA;NA;NA;NA;NA;NA
24.12.2018 13:00;24.12.2018 14:00;NA;NA;NA;NA;NA;NA
24.12.2018 14:00;24.12.2018 15:00;NA;NA;NA;NA;NA;NA
24.12.2018 15:00;24.12.2018 16:00;NA;NA;NA;NA;NA;NA
24.12.2018 16:00;24.12.2018 17:00;NA;NA;NA;NA;NA;NA
24.12.2018 17:00;24.12.2018 18:00;NA;NA;NA;NA;NA;NA
24.12.2018 18:00;24.12.2018 19:00;NA;NA;NA;NA;NA;NA
24.12.2018 19:00;24.12.2018 20:00;NA;NA;NA;NA;NA;NA
24.12.2018 20:00;24.12.2018 21:00;NA;NA;NA;NA;NA;NA
24.12.2018 21:00;24.12.2018 22:00;NA;NA;NA;NA;NA;NA
24.12.2018 22:00;24.12.2018 23:00;AdO3-2;5;3,42;3,62;NA;3,368
24.12.2018 23:00;25.12.2018 00:00;AdO3-2;5;0,2;NA;NA;NA
24.12.2018 23:00;25.12.2018 00:00;AdO3-2;6;1,68;3,36;NA;NA
25.12.2018 00:00;25.12.2018 01:00;AdO3-2;6;3,6;7,2;NA;NA
25.12.2018 01:00;25.12.2018 02:00;AdO3-2;6;3,6;5,58;NA;1,62
25.12.2018 02:00;25.12.2018 03:00;AdO3-2;6;3,6;NA;NA;7,2
25.12.2018 03:00;25.12.2018 04:00;AdO3-2;6;3,6;NA;NA;7,2
25.12.2018 04:00;25.12.2018 05:00;AdO3-2;6;0,06;NA;3,54;7,2
25.12.2018 05:00;25.12.2018 06:00;AdO3-2;6;NA;NA;3,6;7,2
25.12.2018 06:00;25.12.2018 07:00;AdO3-2;6;NA;NA;3,6;7,2
25.12.2018 07:00;25.12.2018 08:00;AdO3-2;6;NA;NA;3,6;7,2
25.12.2018 08:00;25.12.2018 09:00;AdO3-2;6;NA;NA;3,6;7,2
25.12.2018 09:00;25.12.2018 10:00;AdO3-2;6;NA;NA;3,6;7,2
25.12.2018 10:00;25.12.2018 11:00;AdO3-2;6;NA;NA;3,6;7,2
25.12.2018 11:00;25.12.2018 12:00;AdO3-2;6;NA;NA;3,6;7,2
25.12.2018 12:00;25.12.2018 13:00;AdO3-2;6;NA;NA;3,6;7,2
25.12.2018 13:00;25.12.2018 14:00;AdO3-2;6;NA;NA;3,6;7,2
25.12.2018 14:00;25.12.2018 15:00;AdO3-2;6;NA;NA;3,6;7,2
25.12.2018 15:00;25.12.2018 16:00;AdO3-2;6;NA;NA;3,6;7,2
25.12.2018 16:00;25.12.2018 17:00;AdO3-2;6;NA;NA;3,6;7,2
25.12.2018 17:00;25.12.2018 18:00;AdO3-2;6;NA;NA;2,2;4,4
25.12.2018 18:00;25.12.2018 19:00;AdO3-2;7;2,1;4,2;NA;NA
25.12.2018 19:00;25.12.2018 20:00;AdO3-2;7;3,6;6,13;NA;1,07
25.12.2018 20:00;25.12.2018 21:00;AdO3-2;7;3,6;NA;NA;7,2
25.12.2018 21:00;25.12.2018 22:00;AdO3-2;7;1,03;NA;2,57;7,2
25.12.2018 22:00;25.12.2018 23:00;AdO3-2;7;NA;NA;3,6;7,2
25.12.2018 23:00;26.12.2018 00:00;AdO3-2;7;NA;NA;3,6;7,2
26.12.2018 00:00;26.12.2018 01:00;AdO3-2;7;NA;NA;3,6;7,2
26.12.2018 01:00;26.12.2018 02:00;AdO3-2;7;NA;NA;3,6;7,2
26.12.2018 02:00;26.12.2018 03:00;AdO3-2;7;NA;NA;3,6;7,2
26.12.2018 03:00;26.12.2018 04:00;AdO3-2;7;NA;NA;3,6;7,2
26.12.2018 04:00;26.12.2018 05:00;AdO3-2;7;NA;NA;3,6;7,2
26.12.2018 05:00;26.12.2018 06:00;AdO3-2;7;NA;NA;3,6;7,2
26.12.2018 06:00;26.12.2018 07:00;AdO3-2;7;NA;NA;3,6;7,2
26.12.2018 07:00;26.12.2018 08:00;AdO3-2;7;NA;NA;3,6;7,2
26.12.2018 08:00;26.12.2018 09:00;AdO3-2;7;NA;NA;3,6;7,2
26.12.2018 09:00;26.12.2018 10:00;AdO3-2;7;NA;NA;3,6;7,2
26.12.2018 10:00;26.12.2018 11:00;AdO3-2;7;NA;NA;3,6;7,2
26.12.2018 10:00;26.12.2018 11:00;AdO3-4;8;1,14;2,28;NA;NA
26.12.2018 11:00;26.12.2018 12:00;AdO3-2;7;NA;NA;3,6;7,2
26.12.2018 11:00;26.12.2018 12:00;AdO3-4;8;3,6;7,2;NA;NA
26.12.2018 12:00;26.12.2018 13:00;AdO3-2;7;NA;NA;3,6;7,2
26.12.2018 12:00;26.12.2018 13:00;AdO3-4;8;3,6;7,2;NA;NA
26.12.2018 13:00;26.12.2018 14:00;AdO3-2;7;NA;NA;3,6;7,2
26.12.2018 13:00;26.12.2018 14:00;AdO3-4;8;3,6;7,2;NA;NA
26.12.2018 14:00;26.12.2018 15:00;AdO3-2;7;NA;NA;3,6;7,2
26.12.2018 14:00;26.12.2018 15:00;AdO3-4;8;3,6;3,78;NA;3,42
26.12.2018 15:00;26.12.2018 16:00;AdO3-2;7;NA;NA;3,6;7,2
26.12.2018 15:00;26.12.2018 16:00;AdO3-4;8;3,6;NA;NA;7,2
26.12.2018 16:00;26.12.2018 17:00;AdO3-2;7;NA;NA;0,495;0,99
26.12.2018 16:00;26.12.2018 17:00;AdO3-4;8;3,6;NA;NA;6,274
26.12.2018 17:00;26.12.2018 18:00;AdO3-4;8;3,6;NA;NA;NA
26.12.2018 18:00;26.12.2018 19:00;AdO3-4;8;1,32;NA;NA;NA
26.12.2018 18:00;26.12.2018 19:00;AdO3-2;9;0,84;1,68;NA;NA
26.12.2018 19:00;26.12.2018 20:00;AdO3-2;9;3,6;7,15;NA;0,05
26.12.2018 20:00;26.12.2018 21:00;AdO3-2;9;3,6;NA;NA;7,2
26.12.2018 21:00;26.12.2018 22:00;AdO3-2;9;0,79;NA;NA;0,992
26.12.2018 22:00;26.12.2018 23:00;NA;NA;NA;NA;NA;NA
26.12.2018 23:00;27.12.2018 00:00;NA;NA;NA;NA;NA;NA
27.12.2018 00:00;27.12.2018 01:00;NA;NA;NA;NA;NA;NA
27.12.2018 01:00;27.12.2018 02:00;NA;NA;NA;NA;NA;NA
27.12.2018 02:00;27.12.2018 03:00;NA;NA;NA;NA;NA;NA
27.12.2018 03:00;27.12.2018 04:00;NA;NA;NA;NA;NA;NA
27.12.2018 04:00;27.12.2018 05:00;NA;NA;NA;NA;NA;NA
27.12.2018 05:00;27.12.2018 06:00;NA;NA;NA;NA;NA;NA
27.12.2018 06:00;27.12.2018 07:00;NA;NA;NA;NA;NA;NA
27.12.2018 07:00;27.12.2018 08:00;NA;NA;NA;NA;NA;NA
27.12.2018 08:00;27.12.2018 09:00;NA;NA;NA;NA;NA;NA
27.12.2018 09:00;27.12.2018 10:00;NA;NA;NA;NA;NA;NA
27.12.2018 10:00;27.12.2018 11:00;NA;NA;NA;NA;NA;NA
27.12.2018 11:00;27.12.2018 12:00;NA;NA;NA;NA;NA;NA
27.12.2018 12:00;27.12.2018 13:00;NA;NA;NA;NA;NA;NA
27.12.2018 13:00;27.12.2018 14:00;NA;NA;NA;NA;NA;NA
27.12.2018 14:00;27.12.2018 15:00;NA;NA;NA;NA;NA;NA
27.12.2018 15:00;27.12.2018 16:00;NA;NA;NA;NA;NA;NA
27.12.2018 16:00;27.12.2018 17:00;NA;NA;NA;NA;NA;NA
27.12.2018 17:00;27.12.2018 18:00;NA;NA;NA;NA;NA;NA
27.12.2018 18:00;27.12.2018 19:00;NA;NA;NA;NA;NA;NA
27.12.2018 19:00;27.12.2018 20:00;NA;NA;NA;NA;NA;NA
27.12.2018 20:00;27.12.2018 21:00;NA;NA;NA;NA;NA;NA
27.12.2018 21:00;27.12.2018 22:00;NA;NA;NA;NA;NA;NA
27.12.2018 22:00;27.12.2018 23:00;NA;NA;NA;NA;NA;NA
27.12.2018 23:00;28.12.2018 00:00;NA;NA;NA;NA;NA;NA
28.12.2018 00:00;28.12.2018 01:00;NA;NA;NA;NA;NA;NA
28.12.2018 01:00;28.12.2018 02:00;NA;NA;NA;NA;NA;NA
28.12.2018 02:00;28.12.2018 03:00;NA;NA;NA;NA;NA;NA
28.12.2018 03:00;28.12.2018 04:00;NA;NA;NA;NA;NA;NA
28.12.2018 04:00;28.12.2018 05:00;NA;NA;NA;NA;NA;NA
28.12.2018 05:00;28.12.2018 06:00;NA;NA;NA;NA;NA;NA
28.12.2018 06:00;28.12.2018 07:00;NA;NA;NA;NA;NA;NA
28.12.2018 07:00;28.12.2018 08:00;NA;NA;NA;NA;NA;NA
28.12.2018 08:00;28.12.2018 09:00;NA;NA;NA;NA;NA;NA
28.12.2018 09:00;28.12.2018 10:00;NA;NA;NA;NA;NA;NA
28.12.2018 10:00;28.12.2018 11:00;NA;NA;NA;NA;NA;NA
28.12.2018 11:00;28.12.2018 12:00;NA;NA;NA;NA;NA;NA
28.12.2018 12:00;28.12.2018 13:00;NA;NA;NA;NA;NA;NA
28.12.2018 13:00;28.12.2018 14:00;NA;NA;NA;NA;NA;NA
28.12.2018 14:00;28.12.2018 15:00;NA;NA;NA;NA;NA;NA
28.12.2018 15:00;28.12.2018 16:00;NA;NA;NA;NA;NA;NA
28.12.2018 16:00;28.12.2018 17:00;NA;NA;NA;NA;NA;NA
28.12.2018 17:00;28.12.2018 18:00;NA;NA;NA;NA;NA;NA
28.12.2018 18:00;28.12.2018 19:00;NA;NA;NA;NA;NA;NA
28.12.2018 19:00;28.12.2018 20:00;NA;NA;NA;NA;NA;NA
28.12.2018 20:00;28.12.2018 21:00;NA;NA;NA;NA;NA;NA
28.12.2018 21:00;28.12.2018 22:00;NA;NA;NA;NA;NA;NA
28.12.2018 22:00;28.12.2018 23:00;NA;NA;NA;NA;NA;NA
28.12.2018 23:00;29.12.2018 00:00;NA;NA;NA;NA;NA;NA
29.12.2018 00:00;29.12.2018 01:00;NA;NA;NA;NA;NA;NA
29.12.2018 01:00;29.12.2018 02:00;NA;NA;NA;NA;NA;NA
29.12.2018 02:00;29.12.2018 03:00;NA;NA;NA;NA;NA;NA
29.12.2018 03:00;29.12.2018 04:00;NA;NA;NA;NA;NA;NA
29.12.2018 04:00;29.12.2018 05:00;NA;NA;NA;NA;NA;NA
29.12.2018 05:00;29.12.2018 06:00;NA;NA;NA;NA;NA;NA
29.12.2018 06:00;29.12.2018 07:00;NA;NA;NA;NA;NA;NA
29.12.2018 07:00;29.12.2018 08:00;NA;NA;NA;NA;NA;NA
29.12.2018 08:00;29.12.2018 09:00;NA;NA;NA;NA;NA;NA
29.12.2018 09:00;29.12.2018 10:00;NA;NA;NA;NA;NA;NA
29.12.2018 10:00;29.12.2018 11:00;NA;NA;NA;NA;NA;NA
29.12.2018 11:00;29.12.2018 12:00;NA;NA;NA;NA;NA;NA
29.12.2018 12:00;29.12.2018 13:00;NA;NA;NA;NA;NA;NA
29.12.2018 13:00;29.12.2018 14:00;NA;NA;NA;NA;NA;NA
29.12.2018 14:00;29.12.2018 15:00;NA;NA;NA;NA;NA;NA
29.12.2018 15:00;29.12.2018 16:00;NA;NA;NA;NA;NA;NA
29.12.2018 16:00;29.12.2018 17:00;AdO3-2;10;3,36;6,72;NA;NA
29.12.2018 17:00;29.12.2018 18:00;AdO3-2;10;3,6;1,86;NA;5,34
29.12.2018 18:00;29.12.2018 19:00;AdO3-2;10;1,62;NA;1,98;7,2
29.12.2018 19:00;29.12.2018 20:00;AdO3-2;10;NA;NA;3,6;7,2
29.12.2018 20:00;29.12.2018 21:00;AdO3-2;10;NA;NA;3,322;6,644
29.12.2018 21:00;29.12.2018 22:00;NA;NA;NA;NA;NA;NA
29.12.2018 22:00;29.12.2018 23:00;NA;NA;NA;NA;NA;NA
29.12.2018 23:00;30.12.2018 00:00;AdO3-2;11;0,72;1,44;NA;NA
30.12.2018 00:00;30.12.2018 01:00;AdO3-2;11;3,6;7,2;NA;NA
30.12.2018 01:00;30.12.2018 02:00;AdO3-2;11;3,6;7,2;NA;NA
30.12.2018 02:00;30.12.2018 03:00;AdO3-2;11;3,6;0,11;NA;7,09
30.12.2018 03:00;30.12.2018 04:00;AdO3-2;11;3,6;NA;NA;7,2
30.12.2018 04:00;30.12.2018 05:00;AdO3-2;11;0,83;NA;2,77;7,2
30.12.2018 05:00;30.12.2018 06:00;AdO3-2;11;NA;NA;3,6;7,2
30.12.2018 06:00;30.12.2018 07:00;AdO3-2;11;NA;NA;3,6;7,2
30.12.2018 07:00;30.12.2018 08:00;AdO3-2;11;NA;NA;3,6;7,2
30.12.2018 08:00;30.12.2018 09:00;AdO3-2;11;NA;NA;3,6;7,2
30.12.2018 09:00;30.12.2018 10:00;AdO3-2;11;NA;NA;3,6;7,2
30.12.2018 10:00;30.12.2018 11:00;AdO3-2;11;NA;NA;3,6;7,2
30.12.2018 11:00;30.12.2018 12:00;AdO3-2;11;NA;NA;3,6;7,2
30.12.2018 12:00;30.12.2018 13:00;AdO3-2;11;NA;NA;3,6;7,2
30.12.2018 13:00;30.12.2018 14:00;AdO3-2;11;NA;NA;3,6;7,2
30.12.2018 14:00;30.12.2018 15:00;AdO3-2;11;NA;NA;3,6;7,2
30.12.2018 15:00;30.12.2018 16:00;AdO3-2;11;NA;NA;0,822;1,644
30.12.2018 16:00;30.12.2018 17:00;AdO3-2;12;2,16;3,64;NA;3,424
30.12.2018 17:00;30.12.2018 18:00;AdO3-2;12;1,48;NA;NA;NA
30.12.2018 18:00;30.12.2018 19:00;NA;NA;NA;NA;NA;NA
30.12.2018 19:00;30.12.2018 20:00;NA;NA;NA;NA;NA;NA
30.12.2018 20:00;30.12.2018 21:00;NA;NA;NA;NA;NA;NA
30.12.2018 21:00;30.12.2018 22:00;NA;NA;NA;NA;NA;NA
30.12.2018 22:00;30.12.2018 23:00;AdO3-2;13;3,6;7,2;NA;NA
30.12.2018 23:00;31.12.2018 00:00;AdO3-2;13;3,6;2,59;NA;4,61
31.12.2018 00:00;31.12.2018 01:00;AdO3-2;13;2,59;NA;1,01;7,2
31.12.2018 01:00;31.12.2018 02:00;AdO3-2;13;NA;NA;3,6;7,2
31.12.2018 02:00;31.12.2018 03:00;AdO3-2;13;NA;NA;3,6;7,2
31.12.2018 03:00;31.12.2018 04:00;AdO3-2;13;NA;NA;3,6;7,2
31.12.2018 04:00;31.12.2018 05:00;AdO3-2;13;NA;NA;3,6;7,2
31.12.2018 05:00;31.12.2018 06:00;AdO3-2;13;NA;NA;3,6;7,2
31.12.2018 06:00;31.12.2018 07:00;AdO3-2;13;NA;NA;3,6;7,2
31.12.2018 07:00;31.12.2018 08:00;AdO3-2;13;NA;NA;3,6;7,2
31.12.2018 08:00;31.12.2018 09:00;AdO3-2;13;NA;NA;3,6;7,2
31.12.2018 09:00;31.12.2018 10:00;AdO3-2;13;NA;NA;3,6;7,2
31.12.2018 10:00;31.12.2018 11:00;AdO3-2;13;NA;NA;3,6;7,2
31.12.2018 11:00;31.12.2018 12:00;AdO3-2;13;NA;NA;1,637;3,274
31.12.2018 12:00;31.12.2018 13:00;NA;NA;NA;NA;NA;NA
31.12.2018 13:00;31.12.2018 14:00;NA;NA;NA;NA;NA;NA
31.12.2018 14:00;31.12.2018 15:00;NA;NA;NA;NA;NA;NA
31.12.2018 15:00;31.12.2018 16:00;NA;NA;NA;NA;NA;NA
31.12.2018 16:00;31.12.2018 17:00;NA;NA;NA;NA;NA;NA
31.12.2018 17:00;31.12.2018 18:00;NA;NA;NA;NA;NA;NA
31.12.2018 18:00;31.12.2018 19:00;NA;NA;NA;NA;NA;NA
31.12.2018 19:00;31.12.2018 20:00;NA;NA;NA;NA;NA;NA
31.12.2018 20:00;31.12.2018 21:00;NA;NA;NA;NA;NA;NA
31.12.2018 21:00;31.12.2018 22:00;NA;NA;NA;NA;NA;NA
31.12.2018 22:00;31.12.2018 23:00;NA;NA;NA;NA;NA;NA
31.12.2018 23:00;01.01.2019 00:00;NA;NA;NA;NA;NA;NA
01.01.2019 00:00;01.01.2019 01:00;NA;NA;NA;NA;NA;NA
01.01.2019 01:00;01.01.2019 02:00;NA;NA;NA;NA;NA;NA
01.01.2019 02:00;01.01.2019 03:00;NA;NA;NA;NA;NA;NA
01.01.2019 03:00;01.01.2019 04:00;NA;NA;NA;NA;NA;NA
01.01.2019 04:00;01.01.2019 05:00;NA;NA;NA;NA;NA;NA
01.01.2019 05:00;01.01.2019 06:00;NA;NA;NA;NA;NA;NA
01.01.2019 06:00;01.01.2019 07:00;NA;NA;NA;NA;NA;NA
01.01.2019 07:00;01.01.2019 08:00;NA;NA;NA;NA;NA;NA
01.01.2019 08:00;01.01.2019 09:00;NA;NA;NA;NA;NA;NA
01.01.2019 09:00;01.01.2019 10:00;NA;NA;NA;NA;NA;NA
01.01.2019 10:00;01.01.2019 11:00;NA;NA;NA;NA;NA;NA
01.01.2019 11:00;01.01.2019 12:00;NA;NA;NA;NA;NA;NA
01.01.2019 12:00;01.01.2019 13:00;NA;NA;NA;NA;NA;NA
01.01.2019 13:00;01.01.2019 14:00;NA;NA;NA;NA;NA;NA
01.01.2019 14:00;01.01.2019 15:00;NA;NA;NA;NA;NA;NA
01.01.2019 15:00;01.01.2019 16:00;NA;NA;NA;NA;NA;NA
01.01.2019 16:00;01.01.2019 17:00;NA;NA;NA;NA;NA;NA
01.01.2019 17:00;01.01.2019 18:00;NA;NA;NA;NA;NA;NA
01.01.2019 18:00;01.01.2019 19:00;NA;NA;NA;NA;NA;NA
01.01.2019 19:00;01.01.2019 20:00;NA;NA;NA;NA;NA;NA
01.01.2019 20:00;01.01.2019 21:00;NA;NA;NA;NA;NA;NA
01.01.2019 21:00;01.01.2019 22:00;NA;NA;NA;NA;NA;NA
01.01.2019 22:00;01.01.2019 23:00;NA;NA;NA;NA;NA;NA
01.01.2019 23:00;02.01.2019 00:00;NA;NA;NA;NA;NA;NA
02.01.2019 00:00;02.01.2019 01:00;NA;NA;NA;NA;NA;NA
02.01.2019 01:00;02.01.2019 02:00;NA;NA;NA;NA;NA;NA
02.01.2019 02:00;02.01.2019 03:00;NA;NA;NA;NA;NA;NA
02.01.2019 03:00;02.01.2019 04:00;NA;NA;NA;NA;NA;NA
02.01.2019 04:00;02.01.2019 05:00;NA;NA;NA;NA;NA;NA
02.01.2019 05:00;02.01.2019 06:00;NA;NA;NA;NA;NA;NA
02.01.2019 06:00;02.01.2019 07:00;NA;NA;NA;NA;NA;NA
02.01.2019 07:00;02.01.2019 08:00;NA;NA;NA;NA;NA;NA
02.01.2019 08:00;02.01.2019 09:00;AdO3-4;14;1,26;2,52;NA;NA
02.01.2019 09:00;02.01.2019 10:00;AdO3-4;14;3,6;7,2;NA;NA
02.01.2019 10:00;02.01.2019 11:00;AdO3-4;14;3,6;7,2;NA;NA
02.01.2019 11:00;02.01.2019 12:00;AdO3-4;14;3,6;7,2;NA;NA
02.01.2019 12:00;02.01.2019 13:00;AdO3-4;14;3,6;3,99;NA;3,21
02.01.2019 13:00;02.01.2019 14:00;AdO3-4;14;3,6;NA;NA;7,2
02.01.2019 14:00;02.01.2019 15:00;AdO3-4;14;3,6;NA;NA;7,2
02.01.2019 15:00;02.01.2019 16:00;AdO3-4;14;3,6;NA;NA;7,2
02.01.2019 16:00;02.01.2019 17:00;AdO3-4;14;1,65;NA;1,95;7,2
02.01.2019 17:00;02.01.2019 18:00;AdO3-4;14;NA;NA;3,6;7,2
02.01.2019 18:00;02.01.2019 19:00;AdO3-4;14;NA;NA;3,6;7,2
02.01.2019 19:00;02.01.2019 20:00;Bl2-4;15;0,06;0,12;NA;NA
02.01.2019 19:00;02.01.2019 20:00;AdO3-4;14;NA;NA;3,6;7,2
02.01.2019 20:00;02.01.2019 21:00;Bl2-4;15;3,6;7,2;NA;NA
02.01.2019 20:00;02.01.2019 21:00;AdO3-4;14;NA;NA;3,6;7,2
02.01.2019 21:00;02.01.2019 22:00;Bl2-4;15;3,6;7,2;NA;NA
02.01.2019 21:00;02.01.2019 22:00;AdO3-4;14;NA;NA;3,6;7,2
02.01.2019 22:00;02.01.2019 23:00;AdO3-4;14;NA;NA;3,6;7,2
02.01.2019 22:00;02.01.2019 23:00;Bl2-4;15;3,6;0,12;NA;7,08
02.01.2019 23:00;03.01.2019 00:00;AdO3-4;14;NA;NA;3,6;7,2
02.01.2019 23:00;03.01.2019 00:00;Bl2-4;15;3,6;NA;NA;7,2
03.01.2019 00:00;03.01.2019 01:00;AdO3-4;14;NA;NA;3,6;7,2
03.01.2019 00:00;03.01.2019 01:00;Bl2-4;15;0,18;NA;2,927;6,214
03.01.2019 01:00;03.01.2019 02:00;AdO3-4;14;NA;NA;3,6;7,2
03.01.2019 02:00;03.01.2019 03:00;AdO3-4;14;NA;NA;3,6;7,2
03.01.2019 03:00;03.01.2019 04:00;AdO3-4;14;NA;NA;3,6;7,2
03.01.2019 04:00;03.01.2019 05:00;AdO3-4;14;NA;NA;3,6;7,2
03.01.2019 05:00;03.01.2019 06:00;AdO3-4;14;NA;NA;3,6;7,2
03.01.2019 06:00;03.01.2019 07:00;AdO3-4;14;NA;NA;3,6;7,2
03.01.2019 07:00;03.01.2019 08:00;AdO3-4;14;NA;NA;3,6;7,2
